"sex" "age" "village/city" "2026M03"
"Total (sex)" "Total (age)" "Leynar" 124
"Total (sex)" "Total (age)" "Ljósá" 33
"Total (sex)" "Total (age)" "Lopra" 79
"Total (sex)" "Total (age)" "Miðvágur" 1136
"Total (sex)" "Total (age)" "Mikladalur" 28
"Total (sex)" "Total (age)" "Mjørkadalur" -
"Total (sex)" "Total (age)" "Morskranes" 23
"Total (sex)" "Total (age)" "Múli" -
"Total (sex)" "Total (age)" "Mykines" 13
"Total (sex)" "Total (age)" "Nes, Eysturoy" 374
"Total (sex)" "Total (age)" "Nesvík" -
"Total (sex)" "Total (age)" "Norðdepil" 147
"Total (sex)" "Total (age)" "Norðoyri" 150
"Total (sex)" "Total (age)" "Norðradalur" 9
"Total (sex)" "Total (age)" "Norðragøta" 660
"Total (sex)" "Total (age)" "Norðskáli" 314
"Total (sex)" "Total (age)" "Norðtoftir" 3
"Total (sex)" "Total (age)" "Nólsoy" 222
"Total (sex)" "Total (age)" "Oyndarfjørður" 127
"Total (sex)" "Total (age)" "Oyrarbakki" 158
"Total (sex)" "Total (age)" "Oyrareingir" 39
"Total (sex)" "Total (age)" "Oyri" 194
"Total (sex)" "Total (age)" "Porkeri" 323
"Total (sex)" "Total (age)" "Rituvík" 346
"Total (sex)" "Total (age)" "Runavík" 560
"Total (sex)" "Total (age)" "Saksun" 13
"Total (sex)" "Total (age)" "Saltangará" 1252
"Total (sex)" "Total (age)" "Saltnes" 162
"Total (sex)" "Total (age)" "Sandavágur" 1008
"Total (sex)" "Total (age)" "Sandur" 549
"Total (sex)" "Total (age)" "Sandvík" 67
"Total (sex)" "Total (age)" "Selatrað" 37
"Total (sex)" "Total (age)" "Signabøur" 149
"Total (sex)" "Total (age)" "Skarvanes" 9
"Total (sex)" "Total (age)" "Skála" 797
"Total (sex)" "Total (age)" "Skálafjørður, Runavík municipality" 130
"Total (sex)" "Total (age)" "Skálafjørður, Eystur municipality" 5
"Total (sex)" "Total (age)" "Skálavík" 175
"Total (sex)" "Total (age)" "Skipanes" 55
"Total (sex)" "Total (age)" "Skopun" 490
"Total (sex)" "Total (age)" "Skúgvoy" 29
"Total (sex)" "Total (age)" "Skælingur" 13
"Total (sex)" "Total (age)" "Stóra Dímun" 5
"Total (sex)" "Total (age)" "Strendur" 1143
"Total (sex)" "Total (age)" "Streymnes" 328
"Total (sex)" "Total (age)" "Stykkið" 40
"Total (sex)" "Total (age)" "Sumba" 243
"Total (sex)" "Total (age)" "Sund" 1
"Total (sex)" "Total (age)" "Svínáir" 41
"Total (sex)" "Total (age)" "Svínoy" 29
"Total (sex)" "Total (age)" "Syðradalur, Kalsoy" 9
"Total (sex)" "Total (age)" "Syðradalur, Streymoy" 8
"Total (sex)" "Total (age)" "Syðrugøta" 515
"Total (sex)" "Total (age)" "Søldarfjørður" 350
"Total (sex)" "Total (age)" "Sørvágur" 1152
"Total (sex)" "Total (age)" "Tjørnuvík" 44
"Total (sex)" "Total (age)" "Toftir" 1088
"Total (sex)" "Total (age)" "Tórshavn" 14264
"Total (sex)" "Total (age)" "Trongisvágur" 514
"Total (sex)" "Total (age)" "Trøllanes" 14
"Total (sex)" "Total (age)" "Tvøroyri" 847
"Total (sex)" "Total (age)" "Undir Gøtueiði" 31
"Total (sex)" "Total (age)" "Vatnsoyrar" 45
"Total (sex)" "Total (age)" "Vágur" 1329
"Total (sex)" "Total (age)" "Válur" 43
"Total (sex)" "Total (age)" "Velbastaður" 261
"Total (sex)" "Total (age)" "Vestmanna" 1261
"Total (sex)" "Total (age)" "Viðareiði" 332
"Total (sex)" "Total (age)" "Víkarbyrgi" -
"Total (sex)" "Total (age)" "Æðuvík" 94
"Total (sex)" "Total (age)" "Ørðavík" 25
"Total (sex)" "Total (age)" "Ørðavíkslíð" 47
