"village/city"	"sex"	"changes"	"2025M05"
"- Toftir"	"Total (sex)"	"Population primo"	1070
"Runavíkar municipality"	"Total (sex)"	"Population primo"	4415
"- Oyndarfjørður"	"Total (sex)"	"Population primo"	126
"- Elduvík"	"Total (sex)"	"Population primo"	12
"- Funningsfjørður"	"Total (sex)"	"Population primo"	59
"- Æðuvík"	"Total (sex)"	"Population primo"	89
"- Glyvrar"	"Total (sex)"	"Population primo"	479
"- Lamba"	"Total (sex)"	"Population primo"	152
"- Rituvík"	"Total (sex)"	"Population primo"	350
"- Runavík"	"Total (sex)"	"Population primo"	577
"- Saltangará"	"Total (sex)"	"Population primo"	1211
"- Skipanes"	"Total (sex)"	"Population primo"	54
"- Søldarfjørður"	"Total (sex)"	"Population primo"	329
"- Lambareiði"	"Total (sex)"	"Population primo"	12
"- Skála"	"Total (sex)"	"Population primo"	785
"- Skálafjørður"	"Total (sex)"	"Population primo"	136
"- Funningur"	"Total (sex)"	"Population primo"	44
"Sjóvar municipality"	"Total (sex)"	"Population primo"	1267
"- Innan Glyvur"	"Total (sex)"	"Population primo"	78
"- Kolbeinagjógv"	"Total (sex)"	"Population primo"	28
"- Morskranes"	"Total (sex)"	"Population primo"	20
"- Selatrað"	"Total (sex)"	"Population primo"	41
"- Strendur"	"Total (sex)"	"Population primo"	1100
"Eiðis municipality"	"Total (sex)"	"Population primo"	773
"- Eiði"	"Total (sex)"	"Population primo"	695
"- Ljósá"	"Total (sex)"	"Population primo"	32
"- Svínáir"	"Total (sex)"	"Population primo"	46
"Sunda municipality"	"Total (sex)"	"Population primo"	1789
"- Norðskáli"	"Total (sex)"	"Population primo"	314
"- Oyrarbakki"	"Total (sex)"	"Population primo"	152
"- Oyri"	"Total (sex)"	"Population primo"	178
"- Gjógv"	"Total (sex)"	"Population primo"	18
"- Haldórsvík"	"Total (sex)"	"Population primo"	122
"- Langasandur"	"Total (sex)"	"Population primo"	43
"- Tjørnuvík"	"Total (sex)"	"Population primo"	43
"- Saksun"	"Total (sex)"	"Population primo"	12
"- Hvalvík"	"Total (sex)"	"Population primo"	252
"- Nesvík"	"Total (sex)"	"Population primo"	0
"- Streymnes"	"Total (sex)"	"Population primo"	334
"- Hósvík"	"Total (sex)"	"Population primo"	321
"Tórshavnar municipality"	"Total (sex)"	"Population primo"	23422
"- Kollafjørður"	"Total (sex)"	"Population primo"	812
"- Oyrareingir"	"Total (sex)"	"Population primo"	38
"- Signabøur"	"Total (sex)"	"Population primo"	147
"- Argir"	"Total (sex)"	"Population primo"	2573
"- Tórshavn"	"Total (sex)"	"Population primo"	14204
"- Kaldbak"	"Total (sex)"	"Population primo"	256
"- Kaldbaksbotnur"	"Total (sex)"	"Population primo"	7
"- Mjørkadalur"	"Total (sex)"	"Population primo"	0
"- Sund"	"Total (sex)"	"Population primo"	1
"- Hvítanes"	"Total (sex)"	"Population primo"	104
"- Hoyvík"	"Total (sex)"	"Population primo"	4701
"- Norðradalur"	"Total (sex)"	"Population primo"	9
"- Syðradalur, Streymoy"	"Total (sex)"	"Population primo"	8
"- Kirkjubøur"	"Total (sex)"	"Population primo"	73
"- Velbastaður"	"Total (sex)"	"Population primo"	259
"- Hestur"	"Total (sex)"	"Population primo"	15
"- Koltur"	"Total (sex)"	"Population primo"	0
"- Nólsoy"	"Total (sex)"	"Population primo"	215
"Kvívíkar municipality"	"Total (sex)"	"Population primo"	615
"- Kvívík"	"Total (sex)"	"Population primo"	401
"- Leynar"	"Total (sex)"	"Population primo"	117
"- Skælingur"	"Total (sex)"	"Population primo"	13
"- Stykkið"	"Total (sex)"	"Population primo"	41
"- Válur"	"Total (sex)"	"Population primo"	43
"Vestmanna municipality"	"Total (sex)"	"Population primo"	1251
"- Vestmanna"	"Total (sex)"	"Population primo"	1251
"Vága municipality"	"Total (sex)"	"Population primo"	2209
"- Sandavágur"	"Total (sex)"	"Population primo"	1028
"- Miðvágur"	"Total (sex)"	"Population primo"	1137
"- Vatnsoyrar"	"Total (sex)"	"Population primo"	44
"Sørvágs municipality"	"Total (sex)"	"Population primo"	1253
"- Sørvágur"	"Total (sex)"	"Population primo"	1159
"- Bøur"	"Total (sex)"	"Population primo"	66
"- Gásadalur"	"Total (sex)"	"Population primo"	16
"- Mykines"	"Total (sex)"	"Population primo"	12
"Skopunar municipality"	"Total (sex)"	"Population primo"	472
"- Skopun"	"Total (sex)"	"Population primo"	472
"Sands municipality"	"Total (sex)"	"Population primo"	534
"- Sandur"	"Total (sex)"	"Population primo"	534
"Skálavíkar municipality"	"Total (sex)"	"Population primo"	177
"- Skálavík"	"Total (sex)"	"Population primo"	177
"Húsavíkar municipality"	"Total (sex)"	"Population primo"	112
"- Dalur"	"Total (sex)"	"Population primo"	38
"- Húsavík"	"Total (sex)"	"Population primo"	64
"- Skarvanes"	"Total (sex)"	"Population primo"	10
"Skúvoyar municipality"	"Total (sex)"	"Population primo"	35
"- Skúgvoy"	"Total (sex)"	"Population primo"	30
"- Stóra Dímun"	"Total (sex)"	"Population primo"	5
"Hvalbiar municipality"	"Total (sex)"	"Population primo"	638
"- Hvalba"	"Total (sex)"	"Population primo"	568
"- Sandvík"	"Total (sex)"	"Population primo"	70
"Tvøroyrar municipality"	"Total (sex)"	"Population primo"	1728
"- Froðba"	"Total (sex)"	"Population primo"	257
"- Trongisvágur"	"Total (sex)"	"Population primo"	526
"- Tvøroyri"	"Total (sex)"	"Population primo"	858
"- Ørðavík"	"Total (sex)"	"Population primo"	29
"- Ørðavíkslíð"	"Total (sex)"	"Population primo"	58
"Fámjins municipality"	"Total (sex)"	"Population primo"	71
"- Fámjin"	"Total (sex)"	"Population primo"	71
"Hovs municipality"	"Total (sex)"	"Population primo"	107
"- Hov"	"Total (sex)"	"Population primo"	107
"Porkeris municipality"	"Total (sex)"	"Population primo"	331
"- Porkeri"	"Total (sex)"	"Population primo"	331
"Vágs municipality"	"Total (sex)"	"Population primo"	1330
"- Vágur"	"Total (sex)"	"Population primo"	1330
"Sumbiar municipality"	"Total (sex)"	"Population primo"	336
"- Lopra"	"Total (sex)"	"Population primo"	82
"- Sumba"	"Total (sex)"	"Population primo"	242
"- Víkarbyrgi"	"Total (sex)"	"Population primo"	0
"- Akrar"	"Total (sex)"	"Population primo"	12
